ClusterInformation,Key,listing_title,listing_price
2,"Prams, Cots & Equipment :  City of Cape Town",Angel Care Diaper Bin,200
1,"Prams, Cots & Equipment :  City of Cape Town",Stokke Cot + Stokke Changer R12 500 Immaculate!,12500
2,"Prams, Cots & Equipment :  City of Cape Town",Children'S Bedroom Set From Treehouse,3000
3,"Prams, Cots & Equipment :  City of Cape Town",Camp Cot,500
2,"Prams, Cots & Equipment :  City of Cape Town",Playmat,200
2,"Prams, Cots & Equipment :  City of Cape Town",Chelino Urban Detour Travel System,2000
4,"Prams, Cots & Equipment :  City of Cape Town",Chelino Sports Car Seat,690
3,"Prams, Cots & Equipment :  City of Cape Town",Graco Camp Cot,749
4,"Prams, Cots & Equipment :  City of Cape Town",Car Seats/Booser Seats,1234
4,"Prams, Cots & Equipment :  City of Cape Town",Car Seat For Sale,500
2,"Prams, Cots & Equipment :  City of Cape Town",Angelcare Movement & Sound Baby Monitor - Excellent Condition,900
2,"Prams, Cots & Equipment :  City of Cape Town",2 Good Quality Tab Top Pink Curtains For Sale,150
3,"Prams, Cots & Equipment :  City of Cape Town",Winnie The Pooh Cot Mobile,350
4,"Prams, Cots & Equipment :  City of Cape Town",Graco Ultima Plus Travel System. As New R2000 Onco.,2000
3,"Prams, Cots & Equipment :  City of Cape Town",Superwood Cot,2000
3,"Prams, Cots & Equipment :  City of Cape Town",Baby Cot Changer,400
3,"Prams, Cots & Equipment :  City of Cape Town",Baby Pool,150
3,"Prams, Cots & Equipment :  City of Cape Town",Cot Baby - Toddler,1250
2,"Prams, Cots & Equipment :  City of Cape Town",Second Hand Chelino Carseat,250
0,"Prams, Cots & Equipment :  City of Cape Town",Black Scooter,100
3,"Prams, Cots & Equipment :  City of Cape Town",Camp Cot R250,250
0,"Prams, Cots & Equipment :  City of Cape Town",High Chair,500
2,"Prams, Cots & Equipment :  City of Cape Town",Black Scooter In Excellent Condition,120
2,"Prams, Cots & Equipment :  City of Cape Town",Baby Eating And Sitting Chair Very Good Condition. Used Only Once. Go,650
3,"Prams, Cots & Equipment :  City of Cape Town",Denim Woolworths Baby Nappy Bag R150,150
3,"Prams, Cots & Equipment :  City of Cape Town",Camping Cot,550
1,"Prams, Cots & Equipment :  City of Cape Town",Babe Cot Top Changer,400
0,"Prams, Cots & Equipment :  City of Cape Town",Baby Feeding Chair Foldable,150
0,"Prams, Cots & Equipment :  City of Cape Town",Toddler 2In1 High Chair,550
2,"Prams, Cots & Equipment :  City of Cape Town",Brand New Pink,350
2,"Prams, Cots & Equipment :  City of Cape Town",Pram,1300
0,"Prams, Cots & Equipment :  City of Cape Town",Angelcare Sounds Only Monitor,400
2,"Prams, Cots & Equipment :  City of Cape Town",Baby Bath For Sale In Brand New Condition,100
3,"Prams, Cots & Equipment :  City of Cape Town",Camping Cot On Wheels With Light And Plays Tunes,400
0,"Prams, Cots & Equipment :  City of Cape Town",Feeding Chair Converts Into Table & Chair,490
4,"Prams, Cots & Equipment :  City of Cape Town",Recaro Young Profi Car Seat And Isofix Base - Birth To 13Kg,4000
4,"Prams, Cots & Equipment :  City of Cape Town",Graco Car Seat,650
2,"Prams, Cots & Equipment :  City of Cape Town",Angelcare Nappy Bin With Odour Seal,200
3,"Prams, Cots & Equipment :  City of Cape Town",Baby Goodies,950
0,"Prams, Cots & Equipment :  City of Cape Town",Chelino Pram And Car Chair,1500
0,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Car Seat,500
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",High Chair Activa Evo,750
2,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Bottle Sterilizer & Bottle Warmer,100
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Feeding Chair,450
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Compressor Nebulizer,400
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Chicco Baby Car Seat And Pram Set,2500
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Brand New Baby Tricycle,900
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Pram Graco + Rocking Chair - Like New,550
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Brand New Car Seat,850
0,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Gift Set,100
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Chelino Pram With Car Seat. Stroller And Bimbo Seat,1200
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Walking Ring,900
2,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Car Bottle Warmer,50
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Walking Ring,900
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Dreambaby Liberty Security Gate,500
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Medela Mini Electric Breast Pump,800
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Toddler Bed,1300
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality","Baby Pram, Car Chair, Feeding Chair Etc",12000
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Graco Car Seat,1000
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Pink And Black Cot,400
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Items For New Mommies,750
3,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Scooter,80
0,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Items,400
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Camping Cot,550
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Chicco Travel System,1500
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Swing,280
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Pram,250
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Mamaroo4Moms,1500
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Twin Stroler Pram,400
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Nursery Rocking Chair With Rocking Footrest,2500
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Pink And Beige Camp Cot,400
0,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Big Special 8Pce Baby Set. All In Excellent Condition,999
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Video Monitor,1900
1,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Nania Car Seat,300
0,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Baby Compactum Solid Wood,2000
4,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality",Bumbo Chair,200
