Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,listing_latitude,listing_longitude
394,394,385,Baby car seat,"Baby car seat for urgent sale
Still in good condition just needs a bit of a wash

Cash on collection",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.29081,28.32282
414,414,405,Safetygates,3 X safetygates R295 each or all for R800,295,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15049,27.98933
442,442,433,high chair Activa Evo,"The Activa Evo highchair has an attractive and modern design and also converts into a practical  chair + table.
Age: From 6 months 
Features:

- Tray adjustable into 3 positions.
- Removable tray-top.
- Can be used as a low chair.
- Cover removable ",750,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.29081,28.32282
500,500,490,Baby pram,Nice varking,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
566,566,553,Angel care diaper bin,It a angel care  diaper dispenser bin,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.88013,18.58194
608,608,595,Dreambaby baby gate available,"I have a dreambaby baby gate available. 

Used but in excellent condition. 

97 -  108 cm

Only R450

Collection in Roodepoort with cash",450,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
852,852,831,Stokke Cot + Stokke Changer R12 500 immaculate!,"Stokke sleepi cot including stokke Changer all in immaculate condition!

Can be disassembled into small panels easily.
Call 0788631151 to view 

No scam emails will be entertained!!!",12500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.96947,18.51826
993,993,966,Bottle sterilizer & bottle warmer,"Phillips microwave bottle sterilizer , Pigeon bottle warmer and 2x bottles in good condition. Must be able to come collect in Boksburg. Samantha 0814847678",100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.23259,28.24097
1039,1039,1011,Baby stroller for sale.,Practically new baby stroller for sale. Very good condition.,800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.85276,28.19418
1042,1042,1014,Baby vibrating cusion,"The cusion can be use in a pram, cot, basically anywhere to mimic a car ride. You can set the intencity, battery operated",300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.07915,27.92563
1175,1175,1143,Baby feeding chair,The feeding chair is stil in a very good condition. It can be used from the ages of 8 months to roughly 3 years.,450,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.05776,28.22342
1252,1252,1215,18-24 months toddler clothing bundle,"Bundle of 18-24 month toddler clothes. Used but in a good condition. Bundle includes the following items:
x6 long sleeve shirts
x1 winter jacket
x1 short sleeve shirt
x1 pair of shoes

Delivery options (additional to advertised price):
* Collect in ",150,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.87278,29.25532
1254,1254,595,Chicco Oasys 1 Isofix car chair available,"I have a Chicco Oasys 1 Isofix car chair available. 

It has been lightly used and is in near perfect condition. 

9 -  18 kg or 9 months to 4 years. 

A bargain R1500 . 

Collection in Constantia kloof Roodepoort with cash",1300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
1446,1446,1396,Children's Bedroom set from Treehouse,"Single bed with mattress, bedstand with toyboxes and bookshelf with picture frames in good condition all from Treehouse",3000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.87867,18.69476
