,level_0,index,Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,Final_Area,Key
0,0,394,394,394,385,Baby car seat,"Baby car seat for urgent sale
Still in good condition just needs a bit of a wash

Cash on collection",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
1,2,442,442,442,433,high chair Activa Evo,"The Activa Evo highchair has an attractive and modern design and also converts into a practical  chair + table.
Age: From 6 months 
Features:

- Tray adjustable into 3 positions.
- Removable tray-top.
- Can be used as a low chair.
- Cover removable ",750.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
2,7,993,993,993,966,Bottle sterilizer & bottle warmer,"Phillips microwave bottle sterilizer , Pigeon bottle warmer and 2x bottles in good condition. Must be able to come collect in Boksburg. Samantha 0814847678",100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
3,10,1175,1175,1175,1143,Baby feeding chair,The feeding chair is stil in a very good condition. It can be used from the ages of 8 months to roughly 3 years.,450.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
4,23,2080,2080,2080,1965,Compressor nebulizer,New condition,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
5,29,2476,2476,2476,2327,Chicco Baby car seat and pram set,Red baby car seat that clips into pram with a fully reclining pram.,2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
6,31,2604,2604,2604,2442,Imported Mink Baby Blanket!!,"Imported Mink Baby Blanket! !
Brand new !!
Creme in colour!!
Perfect baby gift!!",199.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
7,45,3628,3628,3628,3321,Snuggle Time wedge pillow. And the Sling thing. And nappies.,Snuggle Time wedge pillow brand new and never used. Still in original packaging. And The Sling thing also never been used. The nappies nr 2 giant pack the pack is open because the nappies were only used for decorations at the stork party but everything is ,640.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Ekurhuleni Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality
8,46,3825,3825,3825,3492,Brand new baby Tricycle,"Brand new baby Tricycle 
Blue and pink available",900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
9,62,5085,5085,5085,2269,Pram Graco + Rocking Chair - Like NEW,"Pram Graco and Rocking Chair

For new born and ages up to 3 years old 
in good condition 

R550 onco 

Contact  Jessie on 0794858832 or 0794905633
Alberton",550.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
10,75,5795,5795,5795,5148,Brand new car seat,"Brand new. Never been used. 

Upto 36kg and can b used up to 11years of age.",850.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
11,78,5971,5971,5971,5294,Baby gift set,"Gift set, pewter effect, first tooth and first curl, and sippy cup with Teddy imprint.",100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
12,90,7210,7210,7210,6287,chelino pram with car seat. stroller and bimbo seat,"Chelino pram with car seat.
Bimbo seat
Stroller all in excellent condition
Whatsapp for more pics",1200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
13,100,7922,7922,7922,6858,Walking ring,In very good condition,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
14,105,8321,8321,8321,7185,Car bottle warmer,Bottle warmer takes any size bottle. Warm your childs milk on the road works wonderfull,50.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Ekurhuleni Metropolitan Municipality,"Prams, Cots & Equipment :  City of Ekurhuleni Metropolitan Municipality"
